Z, m	Flux, kg/m^2/s
360	7.49E-11
450	8.53E-11
456	1.53E-11
494	6.44E-11
614	1.22E-10
687	3.55E-11
693	1.15E-11
700	1.03E-10
937	6.03E-11
1031	6.98E-11
1103	7.29E-11
1588	1.85E-11
2453	7.66E-11
2966	7.56E-11
3259	3.25E-11
3710	5.91E-11
3766	1.76E-11
3777	2.4E-11
4456	5.44E-12
4531	6.63E-11

